,DateTime,Temp,SpCond,PressureA,Depth,Cond,Salinity,TDS
,M/D/Y,C,mS/cm,psia,m,mS/cm,ppt,g/L
1,5/10/17 16:51,28.09,4.013,15.02,0.053,4.25,2.11,2.609
2,5/10/17 16:51,28.08,4.007,15.43,0.343,4.243,2.11,2.605
3,5/10/17 16:51,28.06,3.997,15.54,0.416,4.231,2.1,2.598
4,5/10/17 16:51,27.99,3.991,15.68,0.514,4.219,2.1,2.594
5,5/10/17 16:51,27.89,3.989,16.09,0.804,4.209,2.1,2.593
6,5/10/17 16:51,27.76,3.98,16.23,0.903,4.19,2.09,2.587
7,5/10/17 16:51,27.6,3.977,16.71,1.244,4.175,2.09,2.585
8,5/10/17 16:51,27.45,3.968,16.9,1.375,4.154,2.09,2.579
9,5/10/17 16:51,27.36,3.968,17.02,1.463,4.147,2.09,2.579
10,5/10/17 16:52,27.3,3.963,17.6,1.867,4.138,2.09,2.576
11,5/10/17 16:52,27.19,3.962,17.74,1.968,4.128,2.09,2.576
12,5/10/17 16:52,27.06,3.962,18.67,2.621,4.118,2.09,2.576
13,5/10/17 16:52,26.97,3.962,19,2.859,4.111,2.09,2.575
14,5/10/17 16:52,26.9,3.96,19.63,3.3,4.104,2.09,2.574
15,5/10/17 16:52,26.84,3.962,19.75,3.381,4.101,2.09,2.575
16,5/10/17 16:52,26.8,3.969,19.85,3.451,4.105,2.09,2.58
17,5/10/17 16:52,26.79,3.979,19.94,3.52,4.115,2.1,2.586
18,5/10/17 16:52,26.79,3.986,20.07,3.611,4.122,2.1,2.591
19,5/10/17 16:52,26.78,3.999,20.21,3.71,4.136,2.11,2.6
20,5/10/17 16:52,26.79,4.016,20.35,3.806,4.153,2.12,2.61
21,5/10/17 16:52,26.8,4.03,20.48,3.897,4.168,2.13,2.619
22,5/10/17 16:52,26.79,4.045,20.62,4,4.183,2.13,2.629
23,5/10/17 16:52,26.78,4.059,20.78,4.109,4.197,2.14,2.638
24,5/10/17 16:52,26.76,4.069,20.91,4.201,4.205,2.15,2.645
25,5/10/17 16:52,26.73,4.079,21.05,4.298,4.214,2.15,2.651
26,5/10/17 16:52,26.71,4.082,21.18,4.39,4.215,2.15,2.653
27,5/10/17 16:52,26.71,4.068,21.32,4.488,4.201,2.15,2.644
28,5/10/17 16:52,26.71,4.04,21.46,4.586,4.172,2.13,2.626
29,5/10/17 16:52,26.71,4.019,21.6,4.687,4.15,2.12,2.612
30,5/10/17 16:53,26.71,4.017,21.68,4.744,4.148,2.12,2.611
31,5/10/17 16:53,26.71,4.006,21.79,4.821,4.137,2.11,2.604
32,5/10/17 16:53,26.72,3.982,21.97,4.948,4.113,2.1,2.588
33,5/10/17 16:53,26.72,3.971,22.11,5.049,4.101,2.09,2.581
34,5/10/17 16:53,26.72,3.956,22.23,5.13,4.086,2.08,2.571
35,5/10/17 16:53,26.72,3.941,22.39,5.243,4.07,2.08,2.562
36,5/10/17 16:53,26.7,3.93,22.54,5.347,4.058,2.07,2.555
37,5/10/17 16:53,26.7,3.922,22.93,5.624,4.049,2.07,2.549
38,5/10/17 16:53,26.69,3.919,22.99,5.668,4.045,2.06,2.547
39,5/10/17 16:53,26.69,3.919,23.14,5.772,4.045,2.06,2.547
40,5/10/17 16:53,26.69,3.919,23.27,5.862,4.046,2.06,2.548
41,5/10/17 16:53,26.68,3.921,23.4,5.957,4.047,2.06,2.548
42,5/10/17 16:53,26.68,3.923,23.51,6.034,4.049,2.07,2.55
43,5/10/17 16:53,26.69,3.926,23.59,6.088,4.052,2.07,2.552
44,5/10/17 16:53,26.69,3.928,23.66,6.139,4.055,2.07,2.553
45,5/10/17 16:53,26.69,3.924,23.78,6.221,4.051,2.07,2.551
46,5/10/17 16:53,26.69,3.922,23.89,6.301,4.049,2.07,2.55
47,5/10/17 16:53,26.68,3.922,24.03,6.402,4.048,2.07,2.549
48,5/10/17 16:53,26.67,3.922,24.17,6.499,4.047,2.07,2.549
49,5/10/17 16:53,26.66,3.913,24.31,6.596,4.038,2.06,2.544
50,5/10/17 16:54,26.65,3.909,24.4,6.66,4.032,2.06,2.541
51,5/10/17 16:54,26.64,3.903,24.53,6.755,4.026,2.06,2.537
52,5/10/17 16:54,26.64,3.891,24.69,6.864,4.013,2.05,2.529
53,5/10/17 16:54,26.64,3.874,24.8,6.939,3.995,2.04,2.518
54,5/10/17 16:54,26.63,3.861,24.9,7.012,3.981,2.03,2.509
55,5/10/17 16:54,26.62,3.842,25.04,7.109,3.961,2.02,2.498
56,5/10/17 16:54,26.6,3.824,25.17,7.202,3.941,2.01,2.486
57,5/10/17 16:54,26.58,3.808,25.33,7.319,3.923,2,2.475
58,5/10/17 16:54,26.56,3.77,25.72,7.594,3.882,1.98,2.451
59,5/10/17 16:54,26.53,3.74,25.77,7.624,3.849,1.96,2.431
60,5/10/17 16:54,26.51,3.72,25.83,7.665,3.827,1.95,2.418
61,5/10/17 16:54,26.5,3.702,25.93,7.74,3.807,1.94,2.406
62,5/10/17 16:54,26.47,3.685,26.06,7.828,3.789,1.93,2.396
63,5/10/17 16:54,26.45,3.659,26.2,7.929,3.761,1.92,2.378
64,5/10/17 16:54,26.43,3.647,26.31,8.004,3.747,1.91,2.37
65,5/10/17 16:54,26.42,3.626,26.45,8.103,3.724,1.9,2.357
66,5/10/17 16:54,26.41,3.606,26.58,8.198,3.703,1.89,2.344
67,5/10/17 16:54,26.41,3.596,26.72,8.297,3.692,1.88,2.337
68,5/10/17 16:54,26.4,3.59,26.85,8.391,3.686,1.88,2.334
69,5/10/17 16:54,26.39,3.584,26.99,8.483,3.679,1.88,2.33
70,5/10/17 16:55,26.39,3.584,27.07,8.544,3.679,1.88,2.329
71,5/10/17 16:55,26.39,3.585,27.18,8.623,3.68,1.88,2.33
72,5/10/17 16:55,26.4,3.585,27.29,8.699,3.68,1.88,2.33
73,5/10/17 16:55,26.41,3.584,27.36,8.749,3.68,1.88,2.329
74,5/10/17 16:55,26.41,3.583,27.42,8.786,3.68,1.88,2.329
75,5/10/17 16:55,26.41,3.581,27.48,8.832,3.677,1.88,2.328
76,5/10/17 16:55,26.39,3.578,27.6,8.918,3.674,1.87,2.326
77,5/10/17 16:55,26.39,3.578,27.74,9.018,3.673,1.87,2.326
78,5/10/17 16:55,26.39,3.577,27.88,9.116,3.672,1.87,2.325
79,5/10/17 16:55,26.39,3.577,28,9.198,3.672,1.87,2.325
80,5/10/17 16:55,26.39,3.578,28.09,9.263,3.673,1.87,2.326
81,5/10/17 16:55,26.39,3.579,28.18,9.323,3.674,1.88,2.326
82,5/10/17 16:55,26.39,3.577,28.31,9.418,3.672,1.87,2.325
83,5/10/17 16:55,26.39,3.577,28.44,9.506,3.671,1.87,2.325
84,5/10/17 16:55,26.39,3.575,28.56,9.592,3.67,1.87,2.324
85,5/10/17 16:55,26.38,3.574,28.69,9.687,3.669,1.87,2.323
86,5/10/17 16:55,26.38,3.573,28.83,9.782,3.667,1.87,2.322
87,5/10/17 16:55,26.38,3.572,28.92,9.848,3.666,1.87,2.322
88,5/10/17 16:55,26.38,3.572,29.02,9.921,3.667,1.87,2.322
89,5/10/17 16:55,26.38,3.574,29.13,9.994,3.668,1.87,2.323
90,5/10/17 16:56,26.38,3.573,29.19,10.035,3.667,1.87,2.323
91,5/10/17 16:56,26.38,3.572,29.29,10.107,3.666,1.87,2.322
92,5/10/17 16:56,26.38,3.571,29.46,10.225,3.665,1.87,2.321
93,5/10/17 16:56,26.38,3.572,29.61,10.33,3.666,1.87,2.322
94,5/10/17 16:56,26.37,8.032,29.74,10.406,8.243,4.44,5.221
95,5/10/17 16:56,26.37,11.758,30.16,10.68,12.066,6.69,7.643
96,5/10/17 16:56,26.37,13.631,30.24,10.726,13.987,7.85,8.86
97,5/10/17 16:56,26.37,15.828,30.29,10.753,16.241,9.23,10.288
98,5/10/17 16:56,26.37,22.437,30.41,10.802,23.023,13.49,14.584
99,5/10/17 16:56,26.37,28.446,30.55,10.871,29.189,17.49,18.49
100,5/10/17 16:56,26.37,33.034,30.69,10.942,33.896,20.63,21.472
101,5/10/17 16:56,26.37,35.872,30.84,11.031,36.81,22.59,23.317
102,5/10/17 16:56,26.37,37.908,30.98,11.113,38.899,24.02,24.64
103,5/10/17 16:56,26.37,40.463,31.1,11.183,41.522,25.82,26.301
104,5/10/17 16:56,26.37,41.901,31.52,11.461,42.998,26.84,27.236
105,5/10/17 16:56,26.37,43.413,31.62,11.522,44.551,27.93,28.218
106,5/10/17 16:56,26.37,45.258,31.73,11.587,46.445,29.25,29.418
107,5/10/17 16:56,26.37,45.509,31.86,11.675,46.702,29.43,29.581
108,5/10/17 16:56,26.37,45.872,31.97,11.754,47.075,29.7,29.817
109,5/10/17 16:56,26.37,46.231,32.09,11.831,47.445,29.96,30.05
110,5/10/17 16:57,26.38,46.465,32.17,11.882,47.687,30.13,30.202
111,5/10/17 16:57,26.38,46.739,32.29,11.965,47.969,30.32,30.38
112,5/10/17 16:57,26.38,46.996,32.5,12.107,48.233,30.51,30.547
113,5/10/17 16:57,26.38,47.159,32.67,12.227,48.399,30.63,30.653
114,5/10/17 16:57,26.38,47.278,32.78,12.303,48.522,30.72,30.73
115,5/10/17 16:57,26.38,47.346,32.9,12.381,48.594,30.77,30.775
116,5/10/17 16:57,26.38,47.406,33.02,12.468,48.657,30.81,30.814
117,5/10/17 16:57,26.39,47.444,33.11,12.529,48.7,30.84,30.839
118,5/10/17 16:57,26.39,47.484,33.24,12.619,48.742,30.87,30.865
119,5/10/17 16:57,26.39,47.542,33.66,12.905,48.801,30.91,30.903
120,5/10/17 16:57,26.38,47.627,33.77,12.98,48.886,30.97,30.957
121,5/10/17 16:57,26.38,47.74,33.92,13.085,49.001,31.05,31.031
122,5/10/17 16:57,26.38,47.947,34.08,13.194,49.212,31.2,31.166
123,5/10/17 16:57,26.38,48.133,34.22,13.287,49.402,31.34,31.286
124,5/10/17 16:57,26.38,48.423,34.36,13.38,49.701,31.55,31.475
125,5/10/17 16:57,26.38,48.709,34.48,13.464,49.995,31.76,31.661
126,5/10/17 16:57,26.38,49.024,34.62,13.559,50.318,31.99,31.866
127,5/10/17 16:57,26.38,49.426,34.77,13.661,50.732,32.28,32.127
128,5/10/17 16:57,26.38,49.89,34.94,13.768,51.21,32.62,32.429
129,5/10/17 16:57,26.38,50.312,35.1,13.876,51.643,32.93,32.703
130,5/10/17 16:58,26.39,50.612,35.21,13.954,51.951,33.15,32.897
131,5/10/17 16:58,26.39,50.988,35.37,14.057,52.339,33.43,33.142
132,5/10/17 16:58,26.39,51.313,35.53,14.168,52.675,33.67,33.353
133,5/10/17 16:58,26.39,51.643,35.64,14.242,53.017,33.91,33.568
134,5/10/17 16:58,26.39,51.995,35.75,14.312,53.376,34.17,33.797
135,5/10/17 16:58,26.39,52.297,35.92,14.428,53.685,34.4,33.993
136,5/10/17 16:58,26.39,52.638,36.29,14.682,54.035,34.65,34.215
137,5/10/17 16:58,26.39,52.957,36.4,14.752,54.361,34.89,34.422
138,5/10/17 16:58,26.39,53.159,36.51,14.824,54.569,35.04,34.553
139,5/10/17 16:58,26.39,53.272,36.62,14.903,54.687,35.12,34.627
140,5/10/17 16:58,26.39,53.348,36.78,15.012,54.768,35.18,34.676
141,5/10/17 16:58,26.39,53.403,37.18,15.287,54.825,35.22,34.712
142,5/10/17 16:58,26.39,53.443,37.27,15.35,54.866,35.25,34.738
143,5/10/17 16:58,26.39,53.476,37.33,15.385,54.899,35.27,34.759
144,5/10/17 16:58,26.39,53.495,37.42,15.45,54.92,35.28,34.772
145,5/10/17 16:58,26.4,53.505,37.57,15.552,54.933,35.29,34.778
146,5/10/17 16:58,26.4,53.517,37.7,15.643,54.945,35.3,34.786
147,5/10/17 16:58,26.4,53.512,37.86,15.752,54.941,35.3,34.783
148,5/10/17 16:58,26.4,53.517,38.02,15.86,54.946,35.3,34.786
149,5/10/17 16:58,26.4,53.515,38.39,16.119,54.946,35.3,34.785
150,5/10/17 16:59,26.4,53.518,38.45,16.16,54.949,35.3,34.786
151,5/10/17 16:59,26.4,53.52,38.55,16.227,54.952,35.3,34.788
152,5/10/17 16:59,26.4,53.525,38.67,16.312,54.958,35.31,34.791
153,5/10/17 16:59,26.4,53.52,38.72,16.346,54.955,35.3,34.788