id,well_type,variant,instrument,probe_type,date,frequency,mean,std,cv,min,max,median,p25,p50,p75,iqr,count,outliers
AW5,D,,YSI,,20220213,,10883.25113823368,15448.061101613719,1.4194344047932073,636.9,45571.4,674.9,655.0,674.9,15290.65,14635.65,7292,880
AW5,O,,YSI,,20220213,,574.6959879912663,7.858672332406956,0.013674486157238293,566.2,620.8,573.0,571.8,573.0,574.9,3.1000000000000227,3664,344
AW5,S,,YSI,,20220213,,514.5068075117372,3.4143370416692993,0.006636135794163248,510.8,524.1,513.4,511.4,513.4,516.925,5.524999999999977,852,0
AW6,D,,YSI,,20220219,,7544.630765472312,10665.925951632493,1.4137107942306013,384.5,38008.2,1675.7,392.3,1675.7,13276.974999999999,12884.675,6140,390
AW6,O,,YSI,,20220219,,385.0053630363036,8.837566909813857,0.022954399492301436,369.4,397.1,383.1,377.5,383.1,394.8,17.30000000000001,1212,0
AW6,S,,YSI,,20220219,,241.3734589041096,46.31237620475467,0.19187020981935374,165.3,271.9,269.45,168.14999999999998,269.45,270.9,102.75,584,0
BW3,D,,YSI,,20220202,,23060.573924731183,21683.10749265881,0.9402674696402453,450.0,49483.8,13347.35,828.775,13347.35,49405.1,48576.325,10416,0
BW3,S,,YSI,,20220202,,417.6918367346938,1.0894212048200473,0.0026081936705696675,416.8,420.8,417.3,417.0,417.3,417.7,0.6999999999999886,392,56
LRS69,D,,YSI,,20220212,,23827.369158125908,19910.98496174682,0.8356350560404411,981.0,51158.2,21309.1,1292.65,21309.1,45691.9,44399.25,13660,0
LRS69,S,,YSI,,20220212,,2425.662783595113,2.6339352253105743,0.0010858620757691543,2420.4,2429.8,2425.4,2423.6,2425.4,2428.5,4.900000000000091,2292,0
LRS70,D,,YSI,,20220131,,26617.71436679431,21472.406571544034,0.8066961075489989,1994.3,50733.2,18306.35,5463.675,18306.35,49955.075,44491.399999999994,14624,0
LRS70,S,,YSI,,20220131,,4190.464182692308,100.04457170924881,0.0238743412060312,4026.3,4286.1,4227.299999999999,4081.75,4227.299999999999,4282.325,200.57499999999982,416,0
AW5,D,,YSI,,20220814,,2148.6732669523567,6707.058005259678,3.121488086819668,747.1,48803.5,759.3,750.5,759.3,794.1,43.60000000000002,15868,1342
AW5,O,,YSI,,20220814,,924.4511663479923,11.064299445823192,0.011968506124052251,842.4,954.9,929.6,918.9,929.6,930.7,11.800000000000068,10460,283
AW5,S,,YSI,,20220814,,353.5707264957265,3.523256764572199,0.009964786393634835,349.9,358.9,352.15,350.2,352.15,357.5,7.300000000000011,468,0
AW6,D,,YSI,,20220818,,4760.602154308617,10454.675763964126,2.196082643558451,434.9,40764.3,472.8,445.1,472.8,1251.875,806.775,13972,2834
AW6,O,,YSI,,20220818,,822.044167532018,619.576703195786,0.7537024501443883,496.9,3651.5,717.9,506.8,717.9,718.2,211.40000000000003,11556,1246
AW6,S,,YSI,,20220818,,334.7994444444445,2.8060886956484583,0.008381401887642892,330.8,337.8,336.1,331.675,336.1,337.5,5.824999999999989,180,0
BW3,D,,YSI,,20220809,,18669.3921950153,19068.61091497799,1.0213835949126013,454.2,52108.3,8186.049999999999,815.45,8186.049999999999,35178.975,34363.525,9148,0
BW3,D,,YSI,,20220812,,20980.538258682245,21885.412040737505,1.0431291976830386,431.8,51406.8,8473.3,565.9,8473.3,48841.475,48275.575,12324,0
BW3,S,,YSI,,20220809,,428.91544715447156,3.7390553392796355,0.008717464861863637,423.9,434.4,428.45,425.2,428.45,433.2,8.0,492,0
BW3,S,,YSI,,20220812,,403.69208860759494,2.3877665871402622,0.005914821356485061,400.2,407.1,403.5,401.4,403.5,406.3,4.900000000000034,316,0
LRS69,D,,YSI,,20220812,,17016.42043611659,20530.627163047906,1.206518564825336,1194.1,54252.4,1244.9,1222.0,1244.9,33022.6,31800.6,18252,0
LRS69,O,,YSI,,20220812,,1041.7165983606556,35.45170598920716,0.03403200644493651,1005.3,1135.8,1037.15,1006.7,1037.15,1063.725,57.024999999999864,976,0
LRS69,S,,YSI,,20220812,,2569.948952095808,2.943116194314102,0.0011452041457531573,2565.9,2574.1,2570.4,2566.4,2570.4,2572.625,6.224999999999909,668,0
LRS70,D,,YSI,,20220816,,18885.862309110056,20686.343438127304,1.0953348647548247,4491.3,54262.6,6189.05,5287.2,6189.05,50606.1,45318.9,15192,0
LRS70,S,,YSI,,20220816,,4949.229508196721,18.836599469981984,0.0038059660476010538,4925.5,4977.5,4946.2,4930.775,4946.2,4968.675,37.900000000000546,244,0
AW6,O,,YSI,,20110510,,8216.118457300276,12269.550359399513,1.4933512002249234,599.0,45404.0,1450.0,707.5,1450.0,12064.5,11357.0,363,39
AW5,D,,YSI,,20230824,,8292.253085867622,13956.2097234803,1.6830419403461871,685.1,47601.0,713.45,701.1,713.45,9483.6,8782.5,13416,1809
AW6,D,,YSI,,20230815,,8489.20487804878,11507.67787693289,1.3555660444347641,95.8,36360.9,1927.85,438.9,1927.85,13455.5,13016.6,3116,263
BW3,D,,YSI,,20230818,,22065.851419946335,24459.435046186034,1.1084745646422702,488.8,52551.7,1420.6,513.0,1420.6,52518.4,52005.4,17888,0
LRS69,D,,YSI,,20230818,,24081.957135016466,23343.838914644424,0.9693497411263647,360.3,53711.0,13721.75,854.8,13721.75,53256.450000000004,52401.65,10932,0
LRS70,D,,YSI,,20230822,,16714.19520404604,24117.61300915693,1.4429419253951712,423.6,54303.3,438.0,426.4,438.0,51333.049999999996,50906.649999999994,11468,0
AW5,D,,YSI,,20250225,,12953.070799240208,16104.888675216986,1.2433259205347396,674.6,49636.6,6091.15,682.4,6091.15,16395.5,15713.1,13688,1462
AW5,O,,YSI,,20250225,,655.7058514774495,5.993391166656509,0.009140365536089209,648.9,671.8,655.0,652.2,655.0,655.4,3.199999999999932,5144,784
AW5,S,,YSI,,20250225,,458.0772372372373,0.7787931720698095,0.0017001350618661587,456.0,459.7,457.8,457.5,457.8,458.8,1.3000000000000114,1665,0
AW6,D,,YSI,,20250226,,9707.575602824665,12427.948279815271,1.2802319331099563,491.9,41467.2,2082.5,649.25,2082.5,16820.25,16171.0,11612,499
AW6,O,,YSI,,20250226,,744.6230429664508,181.86638044806054,0.2442395278603466,694.9,1847.3,697.1,696.2,697.1,721.1750000000001,24.975000000000023,3398,233
AW6,S,,YSI,,20250226,,269.2934210526315,2.2967417806574484,0.008528770482694289,266.1,274.3,269.25,267.34999999999997,269.25,271.05,3.7000000000000455,76,0
BW3,D,,YSI,Y,20250222,,17389.652006631422,19474.666783381825,1.1198997412918497,489.6,53767.2,5540.8,733.7,5540.8,31819.8,31086.1,31969,0
LRS69,D,,YSI,R,20250222,,10235.450121506683,16975.05532289243,1.6584571388047231,1128.0,54910.3,1178.4,1144.2,1178.4,7706.275,6562.075,37858,6215
LRS69,D,,YSI,Y,20250222,,18289.92684294872,20127.500238522734,1.1004691495681105,1.9,55727.8,7815.55,1127.2,7815.55,37792.6,36665.4,1248,0
LRS69,O,,YSI,R,20250222,,1058.156468945676,391.9644544409659,0.370422017862359,986.2,5527.5,1010.9,1002.9,1010.9,1043.9,41.000000000000114,23636,301
LRS69,O,,YSI,Y,20250222,,1122.2852331606216,293.8078343877301,0.2617942620168827,1004.5,2903.9,1021.25,1009.0,1021.25,1058.65,49.65000000000009,386,55
LRS69,S,,YSI,R,20250222,,917.8160132890366,0.7575099049218149,0.0008253396039662053,916.0,919.1,918.0,917.1,918.0,918.5,1.3999999999999773,3010,0
LRS69,S,,YSI,Y,20250222,,925.188679245283,4.926842333772299,0.005325229809114549,922.3,952.6,923.0,922.7,923.0,924.475,1.7749999999999773,106,20
LRS70,D,,YSI,R,20250226,,21167.212776427346,20709.314554663266,0.9783675712716408,3259.2,54525.5,8178.3,4879.1,8178.3,51515.9,46636.8,16867,0
LRS70,S,,YSI,R,20250226,,3414.198786407767,3.942015674081644,0.0011545946562265689,3412.3,3444.4,3412.9,3412.7,3412.9,3413.6,0.900000000000091,412,46
AW5,D,,YSI,,20250225,,12953.070799240208,16104.888675216986,1.2433259205347396,674.6,49636.6,6091.15,682.4,6091.15,16395.5,15713.1,13688,1462
AW5,O,,YSI,,20250225,,655.7058514774495,5.993391166656509,0.009140365536089209,648.9,671.8,655.0,652.2,655.0,655.4,3.199999999999932,5144,784
AW5,S,,YSI,,20250225,,458.0772372372373,0.7787931720698095,0.0017001350618661587,456.0,459.7,457.8,457.5,457.8,458.8,1.3000000000000114,1665,0
AW6,D,,YSI,,20250226,,9707.575602824665,12427.948279815271,1.2802319331099563,491.9,41467.2,2082.5,649.25,2082.5,16820.25,16171.0,11612,499
AW6,O,,YSI,,20250226,,744.6230429664508,181.86638044806054,0.2442395278603466,694.9,1847.3,697.1,696.2,697.1,721.1750000000001,24.975000000000023,3398,233
AW6,S,,YSI,,20250226,,142.65851627554883,131.5764291278621,0.9223173811349518,3.1,274.3,265.9,3.2,265.9,266.5,263.3,1321,0
BW3,D,,YSI,Y,20250222,,17389.652006631422,19474.666783381825,1.1198997412918497,489.6,53767.2,5540.8,733.7,5540.8,31819.8,31086.1,31969,0
LRS69,D,,YSI,R,20250222,,10235.450121506683,16975.05532289243,1.6584571388047231,1128.0,54910.3,1178.4,1144.2,1178.4,7706.275,6562.075,37858,6215
LRS69,D,,YSI,Y,20250222,,18289.92684294872,20127.500238522734,1.1004691495681105,1.9,55727.8,7815.55,1127.2,7815.55,37792.6,36665.4,1248,0
LRS69,O,,YSI,R,20250222,,1058.156468945676,391.9644544409659,0.370422017862359,986.2,5527.5,1010.9,1002.9,1010.9,1043.9,41.000000000000114,23636,301
LRS69,O,,YSI,Y,20250222,,1122.2852331606216,293.8078343877301,0.2617942620168827,1004.5,2903.9,1021.25,1009.0,1021.25,1058.65,49.65000000000009,386,55
LRS69,S,,YSI,R,20250222,,917.8160132890366,0.7575099049218149,0.0008253396039662053,916.0,919.1,918.0,917.1,918.0,918.5,1.3999999999999773,3010,0
LRS69,S,,YSI,Y,20250222,,925.188679245283,4.926842333772299,0.005325229809114549,922.3,952.6,923.0,922.7,923.0,924.475,1.7749999999999773,106,20
LRS70,D,,YSI,R,20250226,,21167.212776427346,20709.314554663266,0.9783675712716408,3259.2,54525.5,8178.3,4879.1,8178.3,51515.9,46636.8,16867,0
LRS70,S,,YSI,R,20250226,,3414.198786407767,3.942015674081644,0.0011545946562265689,3412.3,3444.4,3412.9,3412.7,3412.9,3413.6,0.900000000000091,412,46
BW3,S,,SOLINST,,,,446.0,1.2,0.0026905829596412553,,,,,,,,1,0
AW6,S,,SOLINST,,,,660.0,1000.0,1.5151515151515151,,,,,,,,1,0
LRS69,S,,SOLINST,,,,450.0,60.0,0.13333333333333333,,,,,,,,1,0
